Organization/Person Name,Number of Investments,Number of Exits,Region,Score
SAV (Scale Asia Ventures),53,5.0,US,63.0
Construct Capital,40,,US,
Five Elms Capital,85,19.0,US,123.0
RPM Ventures,92,21.0,US,134.0
Quiet Capital,361,28.0,US,417.0
1984 Ventures,111,5.0,US,121.0
Biotechnology Value Fund,155,84.0,US,323.0
Dragoneer Investment Group,184,49.0,US,282.0
AgFunder,131,6.0,US,143.0
Branded Strategic Hospitality,38,5.0,US,48.0
Caffeinated Capital,183,12.0,US,207.0
Benchmark,696,193.0,US,1082.0
Unlock Venture Partners,79,6.0,US,91.0
Almaz Capital,97,19.0,US,135.0
Reach Capital,142,18.0,US,178.0
Contrary,86,4.0,US,94.0
CincyTech,147,21.0,US,189.0
Frazier Life Sciences,37,20.0,US,77.0
Ben Franklin Technology Partners of Southeastern Pennsylvania,230,42.0,US,314.0
Zetta Venture Partners,98,12.0,US,122.0
Emergence,234,51.0,US,336.0
Fifth Wall,173,14.0,US,201.0
Bain Capital Ventures,667,136.0,US,939.0
Galaxy Interactive,122,6.0,US,134.0
Venrock Healthcare Capital Partners,72,49.0,US,170.0
FJ Labs,1497,98.0,US,1693.0
Mayfield Fund,686,196.0,US,1078.0
Right Side Capital Management,1378,207.0,US,1792.0
BlueRun Ventures,215,41.0,US,297.0
Apple Tree Partners,62,16.0,US,94.0
SOSV,2816,78.0,US,2972.0
Bee Partners,126,17.0,US,160.0
BLH Venture Partners,60,8.0,US,76.0
Mercury,117,16.0,US,149.0
MGV,49,5.0,US,59.0
Icon Ventures,199,68.0,US,335.0
Origin Ventures,120,19.0,US,158.0
Slow Ventures,573,135.0,US,843.0
M25,173,22.0,US,217.0
Wavemaker 360,73,4.0,US,81.0
Trucks Venture Capital,72,7.0,US,86.0
Robot Ventures,124,2.0,US,128.0
Glasswing Ventures,68,9.0,US,86.0
Sixth Street,71,22.0,US,115.0
Blockchain Capital,175,14.0,US,203.0
Good Growth Capital,100,2.0,US,104.0
Neo,114,5.0,US,124.0
Felicis,657,165.0,US,987.0
Catalio Capital Management,79,15.0,US,109.0
Capital One Ventures,116,23.0,US,162.0
Vertex Ventures US,63,12.0,US,87.0
Evergreen Climate Innovations,45,5.0,US,55.0
MicroVentures,37,9.0,US,55.0
UP Partners,30,,US,
One Way Ventures,97,9.0,US,115.0
Symbolic Capital,32,,US,
Keiretsu Capital,278,17.0,US,312.0
Citi Ventures,231,43.0,US,317.0
Next Coast Ventures,103,11.0,US,125.0
Type One Ventures,35,1.0,US,37.0
Rockefeller Foundation,34,1.0,US,36.0
Bankless Ventures,40,,US,
500 Emerging Europe,59,5.0,US,69.0
Zigg Capital,52,2.0,US,56.0
Vivo Capital,220,107.0,US,434.0
Defy.vc,100,10.0,US,120.0
Inspired Capital Partners,73,3.0,US,79.0
GFR Fund,72,5.0,US,82.0
Airbus Ventures,91,9.0,US,109.0
Everywhere Ventures,358,13.0,US,384.0
